cd_change_flag,cd_change_flag_post,caseid
NA,NA,1231781831
NA,NA,1232499317
NA,NA,1232498929
NA,NA,1232499543
NA,NA,1232499353
NA,NA,1232473727
NA,NA,1232499929
NA,NA,1232519153
NA,NA,1232498663
NA,NA,1232521621
NA,NA,1232500489
NA,NA,1232511829
NA,NA,1232505015
NA,NA,1232508437
NA,NA,1232500229
NA,NA,1231656515
NA,NA,1232529915
NA,NA,1232499515
NA,NA,1232500189
1,1,1232532403
NA,NA,1232518079
NA,NA,1232519559
NA,NA,1232530477
NA,NA,1232519565
NA,NA,1232532161
NA,NA,1232533339
NA,NA,1232532159
NA,NA,1232404325
NA,NA,1232500147
NA,NA,1232523251
NA,NA,1232500537
NA,NA,1232391665
NA,NA,1232403401
NA,NA,1232533891
NA,NA,1232519149
NA,NA,1232533127
NA,NA,1232519259
NA,NA,1232532909
NA,NA,1232533249
NA,NA,1232532171
NA,NA,1232499905
NA,NA,1232533611
NA,NA,1232533301
NA,NA,1232533347
NA,NA,1232519517
NA,NA,1232532759
NA,NA,1232533099
NA,NA,1232534019
NA,NA,1232533819
NA,NA,1232532521
NA,NA,1232533231
NA,NA,1232533563
1,1,1232534203
NA,NA,1232534327
NA,NA,1232533605
NA,NA,1232534387
NA,NA,1232534165
NA,NA,1232056915
NA,NA,1232533241
NA,NA,1232533947
NA,NA,1232534315
1,1,1232534519
NA,NA,1232533793
NA,NA,1232533531
NA,NA,1232524327
NA,NA,1231132549
NA,NA,1232534433
NA,NA,1232534363
NA,NA,1232533823
NA,NA,1232534289
NA,NA,1232519321
NA,NA,1231711471
NA,NA,1232533415
NA,NA,1232199797
NA,NA,1232534989
NA,NA,1232534763
NA,NA,1232534643
NA,NA,1232518925
NA,NA,1232535123
NA,NA,1232534807
NA,NA,1232534687
NA,NA,1232534655
NA,NA,1232534425
NA,NA,1232533875
NA,NA,1232501387
NA,NA,1232533627
NA,NA,1232534437
NA,NA,1232199617
NA,NA,1232533163
NA,NA,1232334359
NA,NA,1232535063
NA,NA,1232498715
NA,NA,1232514781
NA,NA,1232535269
NA,NA,1232535493
NA,NA,1232536299
NA,NA,1232519097
NA,NA,1232533175
NA,NA,1232535527
NA,NA,1232466975
NA,NA,1232536001
NA,NA,1232534705
NA,NA,1232494537
NA,NA,1232535995
NA,NA,1232517793
NA,NA,1231854105
NA,NA,1232535205
NA,NA,1232532393
NA,NA,1232533199
NA,NA,1232536289
NA,NA,1232395863
NA,NA,1232132607
NA,NA,1232323199
NA,NA,1231711311
NA,NA,1232393003
NA,NA,1232534377
NA,NA,1232536265
NA,NA,1232532821
NA,NA,1232536781
NA,NA,1232535257
NA,NA,1232536383
NA,NA,1232536769
NA,NA,1232537771
NA,NA,1232537871
NA,NA,1232535541
NA,NA,1232536911
NA,NA,1232536311
NA,NA,1232518755
NA,NA,1232536451
NA,NA,1232534651
NA,NA,1232535717
NA,NA,1232536987
NA,NA,1232535405
NA,NA,1232129309
NA,NA,1231283657
NA,NA,1232537409
NA,NA,1232537607
NA,NA,1232525061
NA,NA,1232536951
NA,NA,1232537777
NA,NA,1232536599
NA,NA,1232537265
NA,NA,1232536601
NA,NA,1232519035
NA,NA,1232537457
NA,NA,1232537467
NA,NA,1232537939
NA,NA,1231025239
NA,NA,1232491165
NA,NA,1232535687
NA,NA,1232538113
NA,NA,1232536861
NA,NA,1232536131
NA,NA,1232534097
NA,NA,1232537897
NA,NA,1232537781
NA,NA,1232519497
NA,NA,1232538675
NA,NA,1232537697
NA,NA,1232537775
NA,NA,1232538727
NA,NA,1232538329
NA,NA,1232534919
NA,NA,1232536031
NA,NA,1232538085
NA,NA,1232539107
NA,NA,1232333193
NA,NA,1232519445
NA,NA,1232537541
NA,NA,1232537331
NA,NA,1232539127
NA,NA,1232535143
NA,NA,1227837049
NA,NA,1232539305
NA,NA,1230971587
NA,NA,1232539415
NA,NA,1232538811
NA,NA,1232539631
NA,NA,1232332611
NA,NA,1232535511
NA,NA,1232540729
NA,NA,1232537425
NA,NA,1232539015
NA,NA,1232539925
NA,NA,1232533593
NA,NA,1232538745
NA,NA,1232532997
NA,NA,1232518857
NA,NA,1232340461
NA,NA,1232539679
NA,NA,1232397859
NA,NA,1232537609
NA,NA,1232540559
NA,NA,1232539637
NA,NA,1232538219
NA,NA,1232537655
NA,NA,1232540457
NA,NA,1231491961
NA,NA,1232537583
NA,NA,1232131031
NA,NA,1232500445
NA,NA,1232540917
NA,NA,1232539469
NA,NA,1232540803
NA,NA,1232134549
NA,NA,1232540409
NA,NA,1232539635
NA,NA,1232537083
NA,NA,1232539933
NA,NA,1232539207
NA,NA,1232539839
NA,NA,1232534547
NA,NA,1232541029
NA,NA,1232540555
NA,NA,1231352567
NA,NA,1232538601
NA,NA,1232541433
NA,NA,1232540689
NA,NA,1232539525
NA,NA,1232535109
NA,NA,1232540085
NA,NA,1232539773
NA,NA,1232536483
NA,NA,1232540081
NA,NA,1232541155
NA,NA,1232540323
NA,NA,1232539289
NA,NA,1232539211
NA,NA,1232541091
NA,NA,1232540961
NA,NA,1232537493
NA,NA,1232533353
NA,NA,1232539147
NA,NA,1232536869
NA,NA,1232540969
NA,NA,1232499813
NA,NA,1232539999
NA,NA,1232540379
NA,NA,1232539929
NA,NA,1232440761
NA,NA,1230456897
NA,NA,1232542443
NA,NA,1232537981
NA,NA,1232540977
NA,NA,1232500049
NA,NA,1232540807
NA,NA,1232540971
NA,NA,1232541301
NA,NA,1232541855
NA,NA,1232534181
NA,NA,1232538775
NA,NA,1232539293
NA,NA,1232518813
NA,NA,1232538031
NA,NA,1232541271
NA,NA,1232334311
NA,NA,1232539617
NA,NA,1231464111
NA,NA,1232468951
NA,NA,1232539841
NA,NA,1230099243
NA,NA,1232536611
NA,NA,1232569013
NA,NA,1232539379
NA,NA,1231899989
NA,NA,1232540327
NA,NA,1232542677
NA,NA,1232541329
NA,NA,1232540523
NA,NA,1232569053
NA,NA,1232540771
NA,NA,1232568437
NA,NA,1232534449
NA,NA,1232571121
NA,NA,1232469193
NA,NA,1232535443
NA,NA,1232533953
NA,NA,1232537617
NA,NA,1232570087
NA,NA,1232569399
NA,NA,1232571253
NA,NA,1232469093
NA,NA,1231713571
NA,NA,1232571771
NA,NA,1232572849
NA,NA,1232571571
NA,NA,1232532715
NA,NA,1232571649
NA,NA,1232540611
NA,NA,1232577665
NA,NA,1232572281
NA,NA,1232570405
NA,NA,1231975729
NA,NA,1232576895
NA,NA,1232572055
NA,NA,1232510357
NA,NA,1232571217
NA,NA,1232571321
NA,NA,1232542959
NA,NA,1232540839
NA,NA,1232572015
NA,NA,1232578899
NA,NA,1231393503
NA,NA,1232573721
NA,NA,1232574265
NA,NA,1231654323
NA,NA,1232576433
NA,NA,1230425603
NA,NA,1232582885
NA,NA,1232132785
NA,NA,1232571965
NA,NA,1232572453
NA,NA,1232577569
NA,NA,1232577409
NA,NA,1232534189
NA,NA,1232577147
NA,NA,1232577005
NA,NA,1232578607
NA,NA,1232190497
NA,NA,1232580307
NA,NA,1232539277
NA,NA,1232580601
NA,NA,1232580337
NA,NA,1232579103
NA,NA,1232539571
NA,NA,1232580605
NA,NA,1232581825
NA,NA,1232580743
NA,NA,1232582853
NA,NA,1232569361
NA,NA,1232579135
NA,NA,1232581365
NA,NA,1232579623
NA,NA,1232583517
NA,NA,1232581145
NA,NA,1232572395
NA,NA,1232572289
NA,NA,1232583073
NA,NA,1231218507
NA,NA,1232539071
NA,NA,1232476101
NA,NA,1232093905
NA,NA,1232578361
NA,NA,1231713679
NA,NA,1229772637
NA,NA,1232582641
NA,NA,1232577821
NA,NA,1232577789
NA,NA,1232591547
NA,NA,1232589673
NA,NA,1232573157
NA,NA,1232591011
NA,NA,1232587871
NA,NA,1232590099
NA,NA,1232587777
NA,NA,1232499585
NA,NA,1232579803
NA,NA,1232000117
NA,NA,1232589551
NA,NA,1232590787
NA,NA,1232534497
NA,NA,1232574271
NA,NA,1232594207
NA,NA,1232591337
NA,NA,1232583591
NA,NA,1232592705
NA,NA,1232589715
NA,NA,1232593445
NA,NA,1231352627
NA,NA,1232094457
NA,NA,1231830071
NA,NA,1232601679
NA,NA,1232571211
NA,NA,1232594759
NA,NA,1232606325
NA,NA,1232609911
NA,NA,1232597073
NA,NA,1232600731
NA,NA,1232596193
NA,NA,1232536285
NA,NA,1231920525
NA,NA,1232582237
NA,NA,1232594091
NA,NA,1232595653
NA,NA,1232606533
NA,NA,1232537671
NA,NA,1232592515
NA,NA,1232029113
NA,NA,1232617155
NA,NA,1232595675
NA,NA,1232595845
NA,NA,1232620283
NA,NA,1232592493
NA,NA,1232619175
NA,NA,1232617837
NA,NA,1232588899
NA,NA,1232626669
NA,NA,1232397823
NA,NA,1232612691
NA,NA,1232625111
NA,NA,1232626467
NA,NA,1232626525
NA,NA,1231353975
NA,NA,1232511423
NA,NA,1232626849
NA,NA,1232585833
NA,NA,1232627027
NA,NA,1232628787
NA,NA,1232627617
1,1,1232627699
NA,NA,1231758475
NA,NA,1232627195
NA,NA,1232625945
NA,NA,1232627459
NA,NA,1232626015
NA,NA,1232627983
NA,NA,1232602289
NA,NA,1232499855
NA,NA,1232441161
NA,NA,1230998055
NA,NA,1232628767
NA,NA,1232630099
NA,NA,1232628751
NA,NA,1232630535
NA,NA,1231872853
NA,NA,1232630403
NA,NA,1232631951
NA,NA,1232632597
NA,NA,1232134547
NA,NA,1232630975
NA,NA,1232630913
NA,NA,1232597483
NA,NA,1232630645
NA,NA,1232631325
NA,NA,1232633227
NA,NA,1232616927
NA,NA,1232631377
NA,NA,1232631545
NA,NA,1232634071
NA,NA,1232632479
NA,NA,1232632397
NA,NA,1232630759
NA,NA,1232632459
NA,NA,1232627469
NA,NA,1232633763
NA,NA,1232584325
NA,NA,1232633443
NA,NA,1232634207
NA,NA,1232628429
NA,NA,1232634903
NA,NA,1232632799
NA,NA,1232634367
NA,NA,1232632513
NA,NA,1232627057
NA,NA,1232634947
NA,NA,1232646663
NA,NA,1232634697
NA,NA,1232615089
NA,NA,1232632793
NA,NA,1232263659
NA,NA,1232619709
NA,NA,1232633769
NA,NA,1232655065
NA,NA,1232634783
NA,NA,1228477403
NA,NA,1232630085
NA,NA,1232655457
NA,NA,1232631679
NA,NA,1232634123
NA,NA,1232633847
NA,NA,1232634993
